date,outflow,volume,dis_efas5,e0_emo1,pr_emo1,ta_emo1
1991-03-12,3.127,32.157,0.23,1.78,0.0,11.75
1991-03-13,5.734,31.81,0.23,1.16,7.89,9.07
1991-03-14,7.352,32.014,0.19,1.37,1.31,8.35
1991-03-15,4.837,31.78,0.16,1.79,0.01,9.62
1991-03-16,3.499,31.993,0.14,1.75,0.05,11.08
1991-03-17,3.967,31.869,0.13,1.7,0.38,10.8
1991-03-18,0.505,32.063,0.11,1.68,0.0,8.4
1991-03-19,3.264,32.008,0.1,2.31,0.0,10.42
1991-03-20,1.884,32.032,0.09,2.45,0.0,12.01
1991-03-21,2.081,32.003,0.08,3.3,0.0,12.99
